codigo_solicitado,cod_solic_desc
11128716,ADAPT AC/DC A12-040N2A 40W 2P CHINY
11128723,PROC CORE I5 7600 SR334 TRAY DSK INTEL
11129067,"TRAVA SEG  CB 1,90M OSI 4MM TELETRONIC"
11129816,MEM 2GB DDR3L PC12800 SODIMM TEKON MONT
11129837,MEM 8GB DDR4 PC19200 DIMM SMART MONT
11129873,MEM 4GB DDR4 PC19200 DIMM TEKON MONT
11129874,MEM 8GB DDR4 PC19200 DIMM GDKEY MONT
11129897,MEM 4GB DDR4 PC19200 DIMM SMART MONT
11129898,MEM 8GB DDR4 PC19200 SODIMM TEKON MONT
11129901,MEM 4GB DDR4 PC19200 SODIMM TEKON MONT
11129904,SSD 256GB M2 SATA III SU800NS38 ADATA
11129937,BATER 1C LI-PO 2600MAH KOZEN MONT
11130055,TCL ABNT2 SK-6620 SMART CARD USB PR LITE
11130260,"ADAPT AC/DC WA-15I05FB-GNAB 1,5M 15W 2P"
11130369,PAINEL LED 23 HR230WU1-400 AG I_LUX
11130397,FONTE TFX 230W GT-230 SOHOO AUT
11130637,MEM 4GB DDR4 PC19200 SODIMM KMAX MONT
11130652,PLM POS-RIQ270DY DDR4 CKDFP
11130786,MOU USB 3BT+SCR M90 PR POS
11130906,PLM S511 POSIT LPDDR3 RETR SC7731C
11131000,PLM S511 V3 SC7731C LPDDR3 JABIL MONT
11131312,ADAPT AC/DC COSMOS SE0687 5W SALCO IND
11131476,ADAPT AC/DC DA-40B19-ECAF 40W 2P APD
11131537,TCL PADRAO BR NTB N240BU
11131677,PLM CHT12CP V3 EMMC Z8350 LPDDR3 BLBNK M
11131716,FITA ADESIVA 60X15X0.1MM V142N VASTKIN
11132120,PLM CHT14B 8M V2 WIFI NAC Z8350 LPDDR3 J
11132192,LCD 14 PR AGLARE NT140WHM-N41 V142N
11132194,LCD 14 PR AGLARE NT140WHM-N44 V142N
11132331,PLM N240BU I3-7100U DDR4 CKDFP
11133226,"HDD 500GB 2,5` SATAIII SEAGT ST500LM034"
11133341,SSD 256GB SATAIII CV8-CE256-V03 LITEO
11133356,CVI PCI-E 3.0 2GB GDDR5 GT1030 LP ZOTAC
11133363,SSD 256GB SATAIII CV6-CQ256-V03 LITEO
11133465,SSD 256GB SATA CV6-CQ256-B04 1.3.02 RET
11133475,SSD 128GB SATA PX-128S3C RET PXTOR
11133622,"WEB CAM 0.3M,CHICONY,CNFH040,GC032AT 1/1"
11133638,PROC CORE I3 8100 SR3N5 TRAY DSK INTEL
11133672,PROC CORE I5 8400 SR3QT TRAY DSK INTEL
11133673,PROC CORE I5 8400T SR3X6 TRAY DSK INTEL
11134042,"PLM DH8KL01,VER 1.X,CPU KABYLAKE I5-7200"
11134152,PLR WI-FI/BT WLESS 9260NGW FLEX MONT
11134169,LEITOR DE CARTAO MP-18 REV-C
11134267,CONJUNTO FRONTAL S431 BRANCO
11134404,CONJUNTO PLACA MAE S431 SERV
11134410,TAMPA C NTB VERM J14GL NTFX SYNP
11134411,LCD 14 EDP GLARE WLAN ANT RED J14GL
11134460,FONTE TFX 300W 300TBS POSIT AUT
11134898,TAMPA C C/ TCL SPK + ANT + MIC V142N SRV
11135041,TCL ABNT2 K120+EMB POS USB PR LTECH POS
11135420,GAB CE685 4USBF3.X/USBFC/AUF/MIC PR POS
11135466,SSD 128GB SATA CV6-CQ128-V03 1.3.02 LITE
11135527,MEM 16GB DDR4 PC21300 DIMM SMART MONT
11135804,FFC HDD 10P P=0.5MM J14KR ENERGYFULL
11135824,TAMPA C NTB CINZA J14KR ELAN
11135886,CONJ FRONTAL LIO+
11135964,BATER 1C LI-PO 3000MAH RAGTK MONT
11136275,TAMPA C S/TOUCH VERM NETFLIX J14GL11
11136276,TAMPA C S/TOUCH CINZA J14KR11
11136525,LCD 15.6 FHD 2MIC VERM N253JU1-V CLEVO
11136781,LCD 15.6` HD NF50WU-V POSITIVO
11136817,FFC CABLE POWER TO MB L=192MM 5V 6P NF50
11137830,PLM J14GL21 SYNP N4000 N4000 EMMC32G JAB
11137853,PLM N240WU I5-8250U DDR4 CLEVO SKD
11138355,COMBO TECLADO E MOUSE SEM FIO KM-206W(M7
11138512,LCD 12 GLARE SL116PP40Y1008 V116N SERIGR
11138520,TAMPA C C/TP TCL NETFLIX ENG SPK V142N
11138545,LCD GLARE V142N RED RET
11138546,LCD GLARE V142N GRY RET
11138819,CONJUNTO FRONTAL S532 HANCAI
11139265,CABO LCD W2150G
11139341,BATER 1C LI-PO 2500MAH BOREO CKDFP
11139400,LCD 14 2081140HHD02700203D V142N
11139434,MON LED 23.8` LG 24BL550J POS
11139477,CONJUNTO FRONTAL Q3/Q5 SERV
11139490,ADAPT AC/DC WA-15I05FB-GNAD 15W 2P
11139515,PLM V142N 4G 32GB FP Z8300 LPDDR3 JABIL
11139518,MON LED 23.8` AOC 24P1U NO BRAND
11139654,PL SUB S5532 TEM MONT
11139710,SMART LAMPADA WIFI
11139947,PLM LIO 2 JABIL LPDDR3 CKD MT6580A
11140298,MON LED 23.8` AOC 24P1U POS
11140396,ADAPT AC/DC CR-2001BA CIELO MATTE 10W 2P
11140478,PLM S512 JABIL DDR3 MONT SC7731E
11142553,"PL ON-OFF,DH8BW,KL,SHUTTLE_SCS"
11142707,PLMCEL S509 TEM LPDDR3 MONT MT6580M
11142726,"BATER 1C LI-ION 4800MAH 35,5WH BMORN SKD"
11143976,CONJ PLM POS-RIB360EC PLUS
11143989,CABO FLAT PL AUDIO N14DP6
11144001,CABO FLAT PL HDD N14DP6
11144008,TAMPA COVER D CINZA N14DP6
11144167,CONJUNTO PLACA MAE S541 SRV
11144248,CABO SATA W2150G V2
11144373,PLM M14KR01 GS/DK/TPM I5-8250U DDR4 SHUT
11144406,MEM 8GB DDR4 PC19200 DIMM ADATA
11144439,MEM 8GB DDR4 PC19200 SODIMM SMART MONT
11144480,PLM V142N 2G 32GB Z8300 LPDDR3 JABIL MON
11144509,LCD 14 GLARE NT140WHM-N41 8.1 GRAY V142N
11144619,TAMPA COVER C TP CINZA S/TECLA N14DP6
11144621,"ADAPT AC/DC MIN700 3,5W 2P SALCO"
11144662,TECLA NETFLIX N14DP6
11144816,"BATER 1C LI-PO 3000MAH 11,4WH TEM MONT"
11144921,PLM J14GL21 ELAN 32GB N4000 LPDDR4 JABIL
11145154,PLM POS-RIB360EC I7-8700T DDR4 B D8700TS
11145160,PLM POS-RIB360EC I5-8400T DDR4 D8400TSR3
11145179,PROC CORE I5 9400 SR3X5 DSK INTEL
11145395,PLM POS-EIH310EF I5-8400 DDR4 BOREO CKD
11145467,BATER 2C LI-PO 10000MAH 38WH BMORN SKD
11145495,PL MULTI P/ NTB N250JU-V BOREO C CKD
11145598,PLACA USB DH8&DH3 BOREO C CKD
11145608,LCD 15.6 FHD NB50TH POSITIVO
11145636,BATER 3C LI-PO 4300MAH 47WH CLEVO SKD
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11145654,PL POWER SW BOARD V2.0 NF50WU-V C CKD
11145655,PLM NF50WU-V I3-8130U DDR4 BOR C CKDFP
11145657,PLM NF50WU-V I7-8550U DDR4 BOREO CKDFP
11145672,TCL ABNT2 SK 6620 USB PR LITEON
11145972,MON LED 21.5 LG 22MP55PJ POS
11146038,PLM J14KR11 ELAN 4GB I3-7020U HDD BORE C
11146707,MEM 4GB DDR4 PC21300 SODIMM ADATA
11146723,PL CLICK P/ NTB N240WU CKDFP
11146724,PL POWER P/ NTB N240WU CKDFP
11146744,ADAPT AC/DC ARSENAL II NTB 40W 2P SALCO
11146747,BATER 4C LI-PO 4900MAH SHUTL MONT
11146887,PLM V142R 178B 4G 32GB Z8350 LPDDR3 JABI
11146889,PLM V142R 178B 4G 64GB Z8350 LPDDR3 JABI
11146907,TCL ABNT2 SK-6620 LED USB PR
11146934,PLM POS-RIQ370ED PLUS 9TH DDR4 CKDFP
11147015,SMART LAMPADA WIFI N
11147018,PAINEL LCD 10.1` T1085 COM LOGO
11147047,BATERIA ION-LITHIUM 7000MAH 3.7V T1085
11149251,PLM POS-RIB360EC C8100TSR3Y8 I3-8100T DD
11149916,SSD 128GB NVME M2 NVME SX6000PFA1 CHIP2
11150032,TAMPA COVER C RED C/TECLA N14ZP6
11150165,"LCD 21,5 TELA FHD W2150G C/ GAXETA 2"
11150258,PLM VJFE-CL I7-10510U DDR4 BOREO BOREO
11150272,TCL ABNT2 SMART CARD USB PR SMAK POS
11150286,ALTO FALANTE TABLET T770 SRV
11150421,PLMCEL S533 JABIL DDR3 JABIL SC7731E
11150453,"BATER 2C LI-ION 7000MAH 29,5WH BOREO BOR"
11150542,TECLA YOUTUBE N14DP6 2
11151033,TAMPA C DARK GRAY NTB N15WP6
11151035,PL USB2.0 +SD CARD+ AUDIO NTB N1XWP6 SKD
11151036,PL MULTI NTB N14WP6/N15WP6 SKD
11151041,LCD 15.6` FHD AG DARK GRAY N15WP6
11151587,"LCD 14,1 IPS FHD G RED N14ZP6"
11151795,ANTENA WIFI BT 3165 400MM N14DP6
11151853,MON LED 23.8 LG 24BL550J RJ
11152814,SUB BOARD SP2 TEM BOREO CKD
11153123,PLM ACC-J1800-2C1P - REV 1.2 GAR 1010207
11153125,PLM N14EP6 4G N 32GB N Z8330 DDR3 JABIL
11153134,PLM N14EP6 2G N 32GB N Z8350 DDR3 JABIL
11153138,BATER 1C LI-PO 2500MAH TEM CBU
11153139,PLM V142R-2 2G N 32GB N Z8350 DDR3 JABIL
11153144,CABO FLAT PL MULTI P/ PLM N14WP6
11153166,TAMPA C WHITE NTB N14WP6
11153174,PLM N14WP6 I3-8130U DDR4 BOREO BOREO
11153200,MALHA ANTI FURO LCD LIO 3
11153332,CAMERA TRAS 5MP SENS GC5025 C005049V2
11153362,PLM POS-RAA320EJ V003 DDR4 BOREO CKD
11153741,TAMPA C C/TP SPK ANTENA RED C/TCL V142R-
11153876,PLM POS-EIH310EF DDR4 BOREO CKD
11153887,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11153888,PLM A215U2 4GB I3-8130U DDR4 BOREO
11153989,PLM POS-RAA320EI SPECIAL BID V005 DDR4 C
11155162,PROC RYZEN 3 PRO 3200GE TRAY DSK AMD
11155262,TCL PADRAO BR NTB N240WU-V 2
11155839,CONJUNTO PAINEL LCD V142N
11156036,PLM POS- RIB360EE C9100SRCZV I3-9100 DDR
11156044,PLM POS-RIB360EE BASIC E8700SR3QS I7-870
11156045,PLM POS-RIB360EE D9500SR4FB I5-9500 DDR4
11156052,PLM POS-PIB150DT D7500SR335 I5-7500 DDR4
11156454,MEM 4GB DDR3 PC12800 SODIMM ADATA MONT
11156599,CONJ FRONTAL HF + PELICULA SP2 SRV
11156623,CONJ BATERIA V3 + ETIQ SP2 SRV
11156754,GABINETE PLASTICO DO TE UE2020
11156784,FIO DE NYLON PARA TAMPAS DA UE2020/22
11156831,MIDIA DE RESULTADOS (MR) UE2020
11156904,ADAPT AC/DC A12-040N2A VO IND 40W 2P
11157123,PLM POS-RIQ470EN V001 DDR4 BOREO
11157318,SCANNER K2S BASE
11157460,LCD 15.6 FHD MON N15WP6 DARK GRAY
11157547,PLM N240WU WO PWR DLV I3-8130U DDR4 BORE
11158289,TAMPA C TP & TCL NETFLIX NTB K116N VKING
11158390,PL SUB S533 JABIL MONT
11158702,ADAPT AC/DC CLASS S29C18POA 45W 2P SALCO
11158805,PLM NL40CU-1 I3-10110U DDR4 CLEVO SKD
11158806,PLM NL40CU-1 I5-10210U DDR4 CLEVO SKD
11159045,CAMERA FRONTAL 8MP SENS SP8409 FF S533
11159265,BASE DE ALUMINIO TIPO V + I W2150G/A215U
11159572,SSD 512GB SATA M2 SU800NS38 ADATA
11159645,LEITOR DE CARTAO MP-18 GERTEC V2
11159779,TAMPA D N14WP6 BMORN ICE LAKE
11160007,LEITOR BIOMETRICO Q20 BRANCO
11160019,GAVETA SIM SD Q20 AZUL
11160046,CABO DADOS USB-C BRANCO Q20
11160049,TECLA LIGA/DESLIGA AZUL Q20
11160088,CAMERA TRAS GC2385 H4009T XCG S431B
11160172,SSD 128GB SATAIII 2710DCS23BF-128 KFAST
11160351,DISPLAY LCD 15.6 FHD N15WP6 SILVER BOE
11160356,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11160357,PLM NL40CU1_B I5-10210U DDR4 BOREO
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11160871,DISPLAY LCD 14 HD RED V142R-2
11161268,SSD 128GB GENERICO SATA-3 GAR 4190305
11161356,SSD 256GB SATA M2 CVB-8D256-V03 SSSTC
11161380,CONJ FRONTAL T770C LVDS SAT INN SERV
11161415,PLM V142R-2 2GB 32GB Z8330 DDR3 JABIL JA
11161433,PLM POS-RIB360EC BASIC D9500TSRF4D I5-95
11161435,CONJ TAMPA B RED V142R/R2/ZP6/EP6
11161708,TAMPA COVER C RED N14 ECOSISTEM
11161836,TAMPA COVER C GRAY N14 ECOSISTEM
11161851,CABO FLAT 106.6X7MM 6PIN TP N14ZP7
11161868,TECLA NETFLIX N14ZP7 GRAY
11161875,TECLA DEEZER N14ZP7 GRAY
11163735,PLM VJFE-ICL 4GB I3-1005G1 DDR4 BOREO BO
11164085,BATER 2C LI-ION 5000MAH 57WH SKD
11164115,KEYBOARD CF40CM ABNT SEM RETROILUMINAÇÃO
11164277,PROC CORE I3 I3-9100 SRCZV TRAY DSK INTE
11164385,CONJUNTO TRASEIRO PRETO S509N
11164469,COVER B SUPPORT PAD N14DP6 SERV
11165211,CAMERA TRASEIRA 8MP SENS HI846 S514
11165222,BATER 2C LI-ION 5000MAH BMORN SKD
11165257,CAM TRAS 5MP SENS GC5035 FF Q20 ZHUOKE
11165343,PLM V142R-2 2GB 32GB Z8350 DDR3 JABIL JA
11165521,"LCD 14,1 FHD AG DARKBLUE N14EP6 PANDA V2"
11166370,PLM T2040 HENA 32GB LPDDR4 JABIL SC9863
11166895,PLM V142R-2 4GB 32GB Z8350 DDR3 JABIL JA
11166951,PL AUDIO NTB N14AP7 SKD
11166961,PL AUDIO NTB K142 SKD
11167062,LCD 13.9 IPS HD G GOLD K142 IPS
11167084,SSD 240GB SATAIII SSD 240GB SATAIII SU65
11167085,SSD 120GB SATAIII SU650SS ADATA
11167102,PLM T2040 BOE OVP 32GB IMP LPDDR4 JABIL
11167110,PLM N14KP6 4GB I3-6157U DDR4 BOREO BOREO
11167113,DISPLAY LCD 15.6 FHD N15WP6 SILVER HCA-E
11167114,DISPLAY LCD 15.6 FHD N15WP6 GRAY HCA-EAB
11167131,BATER 2C LI-PO 10000MAH 37WH BOREO BOREO
11167236,CABO SATA W2150G V3
11167334,LCD 14.0 IPS HD G RED N14 ECOSISTEM
11167336,LCD 14.0 IPS HD G RED N14 ECOSISTEM
11167788,PLM POS-RIB360EC D9600TSRF4 I5-9600 DDR4
11167821,PLM POS-RIH470EM PLUS V002 I3-10100T DDR
11167822,PLM POS-RIH470EM I7-10700T DDR4 BOREO BO
11167825,LCD 14 IPS FHD GOLD K142 LM
11167891,PL SUB S5094G / S518
11167939,LCD 14 IPS FHD RED K142 SL 2
11167943,PLMCEL S509 4G BOREO LPDDR4 BOREO SC9863
11167963,PLMCEL S514 BOREO LPDDR3 BOREO SC7731E
11167965,TAMPA C BL REFRESH N15WP6 DARKGRAY
11168318,CONJUNTO FRONTAL S514 PRETO SS
11168342,CAMERA TRASEIRA 8MP SENS HI846 UP32 S518
11168363,"LCD 21,5 TELA FHD A215U2 V2"
11169494,"LCD 21,5 TELA FHD A215U2_W2150G V3"
11170128,LCD 14 IPS HD GOLD K142 SL 3
11170144,"LCD 14,1 FHD AG N140HGA-EA1 N14KP6-PRO G"
11170146,TAMPA COVER D DARK GRAY N14KP6-PRO
11170148,BATER 3C LI-ION 4300MAH 50WH BMORN SKD
11170241,LCD 14.1 TN FHD G GRAY N14 ECOSISTEM
11170339,TAMPA COVER D N14JP6
11170348,PLM K142 4GB 64GB Z8350 DDR3 JABIL JABIL
11170411,CONJUNTO FRONTAL T2040 HENA/SAT
11170415,CONJ CAMERA N14DP6 SRV
11170428,LCD 14.1 IPS HD G GRAY N14 ECOSISTEM
11170588,TABLET POSITIVO T770KME MINIONS
11171177,"BATER 1C LI-PO 2200MAH 8,36WH TEM CBU"
11171200,PLM POS-RIQ470EN V001 I5-10600T DDR4 BOR
11171234,PLM POS-RIH470EM PLUS V002 DDR4 BOREO
11171267,PLM N14JP6 N3700 DDR3L BMORN SKD
11171303,MEM DSK ACCEPT 4GB DDR4 GAR 03100030
11171400,CONJ LCD N14EP6 SRV (PANDA)
11171409,CONJ LCD N15WP6 FHD SRV
11171625,ADAPT AC/DC MSP-C3000IC5.0-18A 15W 2P SA
11171626,ADAPT AC/DC MSS-V2000WR120-024E0-BR 24W
11171640,PLM N14JP6 4GB N3700 DDR3 BOREO BOREO
11171660,PL USB NTB K142 SKD
11171672,CONJ FRONTAL HANCAI + FITAS S509N SRV
11171824,LCD 13.9 IPS HD RED K142
11171828,LCD 13.9 IPS HD GOLD K142
11171838,LCD 13.9 IPS HD GRAY K142
11171839,LCD 13.9 IPS HD GRAY K142
11171852,CONJ FRONTAL HF + FITAS S514 SRV
11171900,PLM K116R 4GB 64GB N4020 LPDDR4 JABIL
11172011,MOUSE PAD C/ LOGO POSITIVO 180X230MM
11172587,"LCD 14,1 HD WJHD141005A N14KP6"
11172615,LCD 14.1 TN HD WJHD141005A N14JP6
11172630,CONJ FRONTAL S514 PRETO HF GC9702P+BOE
11172669,TABLET POSITIVO T770F
11172673,PLM NP11G-ER1 4GB N4020 LPDDR4 JABIL JAB
11173275,LCD 14.0 TN HD WD140HHE30AC N14JP6
11173277,PLM POS-PIB150DT AG3900SR2HV G3900 DDR4
11173299,PLMCEL S518 BOREO LPDDR3 BOREO SC9863A
11173712,LCD 14 TN HD RED K142
11173731,PLMCEL S518-C BOREO LPDDR3 BOREO SC9863A
11173742,BATERIA 12V 9AH UE2020 SRV
11173810,LCD 14 TN HD WJHD141005B GRAY K142
11174032,LCD 11.6 FHD IPS LM116B K116R
11174068,CONJ FRONT S509N PRETO SS NV3049E+HSD
11174093,MON LED 23.8 LG 24BN650U H3-03417 SR-V
11174243,"MONITOR 18,5` AOC - MODELO E970SWNL"
11174250,PAINEL LCD 14 04.012.00656 K142 SRV
11174320,PLM CF40CM I5-10210U DDR4 ECS SKD
11174321,PLM CF40CM I7-10610U DDR4 ECS SKD
11174334,TAMPA COVER C GRAY N14 ECOSISTEM COM ANT
11174343,PLM T2040 OVP 64GB JABIL LPDDR4 CKD SC98
11174376,LCD 14.0 TN HD GRAY (AB043) N14DP7-V2
11174394,LCD 13.9 TN HD GRAY (AB031) N14DP7-V2
11174429,PL USB NTB CW14 SKD
11174453,LCD 11.6 02.SKD.NP11GEAYX06 NP11G-E 2ANT
11174612,ADAPT AC/DC 65W 3P
11174637,LCD 14.0 TFT HD (AB010) N14KP6-PRO
11174705,PL USB NTB N14AP7 SKD
11174717,PLM POS-RIH470EM I3-10100T DDR4 BOREO BO
11174726,PLM NL40CU1-B D03 I7-10510U DDR4 BOREO B
11174728,PLM NL40CU1-B D03 I3-10110U DDR4 BOREO
11174734,TAMPA COVER C RED C/ANT (C0015) DP7-V2
11174738,CONJ PAINEL LCD 1.11.N14AP7.00003 SRV
11174742,PLM NL40CU-1 D03 I5-10210U DDR4 BOREO
11174758,PLM CF40CM I7-10510U DDR4 BOREO BOREO
11174802,PLM N14DP7-V2 GML4020 N4020 LPDDR4 JABIL
11174864,DISSIPADOR N14KP6-PRO BMORN
11174947,PLM POS-RIQ470EN V001 DDR4 BOREO
11175111,PLM N14DP7-V2 4GB SEM EMMC N4000 LPDDR4
11175281,TAMPA C TP & TCL NETFLIX NTB K116R VKING
11175331,CAM FF 2M GC02M1B YM P 3P+IR V1.0 N10P
11175389,LCD 15.6 FHD N15WP6 GRAY BOE CV1
11175390,LCD 14` FHD IPS DARK GRAY (AB028) N14WP6
11175486,SSD 512GB NVME GEN4X4 CL4-8D512 SSSTC
11175499,TAMPA C RED CW14Q01P
11175545,CONJ TRASEIRO N10P CINZA
11175651,MODULO LEITOR BIOM?TRICO AZUL N10P
